platform,algorithm,operation,message_size,run,ops,latency_ms
ubuntu-linux,rsa-pss-3072,verify,1KiB,29,1,0.341413
ubuntu-linux,rsa-pss-3072,sign,1KiB,30,1,2.316561
ubuntu-linux,rsa-pss-3072,verify,1KiB,30,1,0.346823
ubuntu-linux,rsa-pss-3072,sign,16KiB,1,1,2.312363
ubuntu-linux,rsa-pss-3072,verify,16KiB,1,1,0.363144
ubuntu-linux,rsa-pss-3072,sign,16KiB,2,1,2.353040
ubuntu-linux,rsa-pss-3072,verify,16KiB,2,1,0.365328
ubuntu-linux,rsa-pss-3072,sign,16KiB,3,1,2.352880
ubuntu-linux,rsa-pss-3072,verify,16KiB,3,1,0.344208
ubuntu-linux,rsa-pss-3072,sign,16KiB,4,1,2.284301
ubuntu-linux,rsa-pss-3072,verify,16KiB,4,1,0.393050
ubuntu-linux,rsa-pss-3072,sign,16KiB,5,1,2.338784
ubuntu-linux,rsa-pss-3072,verify,16KiB,5,1,0.332376
ubuntu-linux,rsa-pss-3072,sign,16KiB,6,1,2.314718
ubuntu-linux,rsa-pss-3072,verify,16KiB,6,1,0.325733
ubuntu-linux,rsa-pss-3072,sign,16KiB,7,1,2.305421
ubuntu-linux,rsa-pss-3072,verify,16KiB,7,1,0.356091
ubuntu-linux,rsa-pss-3072,sign,16KiB,8,1,2.340817
ubuntu-linux,rsa-pss-3072,verify,16KiB,8,1,0.373723
ubuntu-linux,rsa-pss-3072,sign,16KiB,9,1,2.320389
ubuntu-linux,rsa-pss-3072,verify,16KiB,9,1,0.358655
ubuntu-linux,rsa-pss-3072,sign,16KiB,10,1,2.379901
ubuntu-linux,rsa-pss-3072,verify,16KiB,10,1,0.365198
ubuntu-linux,rsa-pss-3072,sign,16KiB,11,1,2.289270
ubuntu-linux,rsa-pss-3072,verify,16KiB,11,1,0.307138
ubuntu-linux,rsa-pss-3072,sign,16KiB,12,1,2.342850
ubuntu-linux,rsa-pss-3072,verify,16KiB,12,1,0.318540
ubuntu-linux,rsa-pss-3072,sign,16KiB,13,1,2.297055
ubuntu-linux,rsa-pss-3072,verify,16KiB,13,1,0.354117
ubuntu-linux,rsa-pss-3072,sign,16KiB,14,1,2.308606
ubuntu-linux,rsa-pss-3072,verify,16KiB,14,1,0.336022
ubuntu-linux,rsa-pss-3072,sign,16KiB,15,1,2.282237
ubuntu-linux,rsa-pss-3072,verify,16KiB,15,1,0.307990
ubuntu-linux,rsa-pss-3072,sign,16KiB,16,1,2.274592
ubuntu-linux,rsa-pss-3072,verify,16KiB,16,1,0.323379
ubuntu-linux,rsa-pss-3072,sign,16KiB,17,1,2.306001
ubuntu-linux,rsa-pss-3072,verify,16KiB,17,1,0.305946
ubuntu-linux,rsa-pss-3072,sign,16KiB,18,1,2.282027
